"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_grassfed"
"11/11/2023 08:47:19:517 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"21","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75817200","75817200","75817200","75817200","0","427541.3755579166","19689.441796784165","0","78208.98013600566","0","3244408.110789221","1622204.0553946104","1622204.0553946104","2294142.9760756935","0","0","0","0","-8796830.697482357","-8796830.697482357","-8796830.697482357","-8796830.697482357","0","1","0.47446808510638383","0.45","0.2564552378357711","0","1","0.47446808510638383","0.45","0.2564552378357711","0","0","0","0","0","0","0","9.637882464000001E8","9.720492885120001E7","1.4153680799999999E7","1247620.7519999999"
"22","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75862800","75862800","75862800","75862800","0","472827.66770358896","20232.71527118984","0","83570.42251561992","0","3338655.804680103","1669327.9023400515","1669327.9023400515","2360786.1595371305","0","0","0","0","-9044281.51115564","-9044281.51115564","-9044281.51115564","-9044281.51115564","0","1","0.4707446808510649","0.45","0.24676658916224103","0","1","0.4707446808510649","0.45","0.24676658916224103","0","0","0","0","0","0","0","9.643679136000001E8","9.72633924288E7","1.4659898399999999E7","1292242.896"
"23","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","76388400","76388400","76388400","76388400","0","383230.0504377516","19521.990120634287","0","71649.60333588581","0","3392572.0819902397","1696286.0409951198","1696286.0409951198","2398910.7248394624","0","0","0","0","-8897773.296009108","-8897773.296009108","-8897773.296009108","-8897773.296009108","0","1","0.4829787234042564","0.45","0.27104186668460145","0","1","0.4829787234042564","0.45","0.27104186668460145","0","0","0","0","0","0","0","9.710493408000001E8","9.79372620864E7","14267988","1257696.72"
"24","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","81326400","81326400","81326400","81326400","0","420083.8098558949","19369.842034202808","0","72558.42307362381","0","3340244.943147358","1670122.471573679","1670122.471573679","2361909.8501235708","0","0","0","0","-8802540.39679255","-8802540.39679255","-8802540.39679255","-8802540.39679255","0","1","0.50017730496454","0.45","0.27260762107888875","0","1","0.50017730496454","0.45","0.27260762107888875","0","0","0","0","0","0","0","1.0338211968000001E9","1.042682521344E8","1.43251416E7","1262734.704"
"25","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","80029200","80029200","80029200","80029200","0","397580.2010820074","19360.395951908136","0","74694.10444437605","0","3376828.647709586","1688414.323854793","1688414.323854793","2387778.4357004473","0","0","0","0","-8836460.306147683","-8836460.306147683","-8836460.306147683","-8836460.306147683","0","1","0.4611702127659585","0.45","0.2414171817042412","0","1","0.4611702127659585","0.45","0.2414171817042412","0","0","0","0","0","0","0","1.0173311904000001E9","1.0260511720320001E8","1.45047672E7","1278568.368"
"26","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","78762000","78762000","78762000","78762000","0","1897430.9934019395","21264.29399200196","0","125637.50700403943","0","3498254.0832011057","1749127.0416005529","1749127.0416005529","2473639.184545031","0","0","0","0","-9494784.988945657","-9494784.988945657","-9494784.988945657","-9494784.988945657","0","1","0.5152482269503559","0.45","0.2402877325038939","0","1","0.5152482269503559","0.45","0.2402877325038939","0","0","0","0","0","0","0","1001222544","1.00980445152E8","15717240","1385445.5999999999"
"27","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","78069600","78069600","78069600","78069600","0","478912.6717218922","19455.105627484652","0","81989.58895307996","0","3245155.985467899","1622577.9927339496","1622577.9927339496","2294671.803332465","0","0","0","0","-8731495.772418572","-8731495.772418572","-8731495.772418572","-8731495.772418572","0","1","0.48333333333333456","0.45","0.23717395050790366","0","1","0.48333333333333456","0.45","0.23717395050790366","0","0","0","0","0","0","0","9.924207551999999E8","1.0009272188159999E8","1.4210834399999999E7","1252658.736"
"28","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","77317200","77317200","77317200","77317200","0","602328.9852661161","20032.127965866788","0","82615.13878569484","0","3517837.6595582906","1758918.8297791453","1758918.8297791453","2487486.864187081","0","0","0","0","-9166897.745932724","-9166897.745932724","-9166897.745932724","-9166897.745932724","0","1","0.4828014184397175","0.45","0.23318227775691358","0","1","0.4828014184397175","0.45","0.23318227775691358","0","0","0","0","0","0","0","9.828562464000001E8","9.912807285120001E7","1.4745628799999999E7","1299799.872"
"29","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","78966000","78966000","78966000","78966000","0","633115.6483673182","19888.26429195735","0","76592.48550803038","0","3257132.140454279","1628566.0702271394","1628566.0702271394","2303140.223735875","0","0","0","0","-8865622.670786252","-8865622.670786252","-8865622.670786252","-8865622.670786252","0","1","0.4719858156028381","0.45","0.2626763968798912","0","1","0.4719858156028381","0.45","0.2626763968798912","0","0","0","0","0","0","0","1003815792","1.01241992736E8","1.4398624799999999E7","1269212.112"
"30","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","73753200","73753200","73753200","73753200","0","476186.2335641878","19517.464709807246","0","70764.69308775071","0","3328759.2968709497","1664379.6484354748","1664379.6484354748","2353788.2717552125","0","0","0","0","-8832684.345036594","-8832684.345036594","-8832684.345036594","-8832684.345036594","0","1","0.5237588652482278","0.45","0.2669240605539755","0","1","0.5237588652482278","0.45","0.2669240605539755","0","0","0","0","0","0","0","9.375506784E8","9.455868270719999E7","1.4378212799999999E7","1267412.832"
"31","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75048000","75048000","75048000","75048000","0","397922.9147847267","19604.62062247818","0","74219.9928625287","0","3356493.2871961882","1678246.6435980941","1678246.6435980941","2373399.1643835506","0","0","0","0","-8884996.302735034","-8884996.302735034","-8884996.302735034","-8884996.302735034","0","1","0.5095744680851078","0.45","0.2541061294808757","0","1","0.5095744680851078","0.45","0.2541061294808757","0","0","0","0","0","0","0","954010176","9.6218740608E7","14472108","1275689.52"
"32","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","78888000","78888000","78888000","78888000","0","552641.972413616","19826.80832278758","0","76758.64830450855","0","3204328.190316407","1602164.0951582035","1602164.0951582035","2265802.1925199493","0","0","0","0","-8795488.137342503","-8795488.137342503","-8795488.137342503","-8795488.137342503","0","1","0.4856382978723416","0.45","0.2731087350516367","0","1","0.4856382978723416","0.45","0.2731087350516367","0","0","0","0","0","0","0","1002824256","1.01141989248E8","14472108","1275689.52"
"33","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75915600","75915600","75915600","75915600","0","511165.43383446697","19550.549548191444","0","76056.73326860524","0","3229996.109379821","1614998.0546899105","1614998.0546899105","2283952.152148637","0","0","0","0","-8743251.081969807","-8743251.081969807","-8743251.081969807","-8743251.081969807","0","1","0.5086879432624125","0.45","0.2714545933010247","0","1","0.5086879432624125","0.45","0.2714545933010247","0","0","0","0","0","0","0","9.650391071999999E8","9.733108709759998E7","1.4312894399999999E7","1261655.136"
"34","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","77300400","77300400","77300400","77300400","0","459679.9336430124","19552.779157356443","0","74207.67146995378","0","3200159.2763496395","1600079.6381748198","1600079.6381748198","2262854.3251838647","0","0","0","0","-8714042.998724155","-8714042.998724155","-8714042.998724155","-8714042.998724155","0","1","0.49787234042553297","0.45","0.2669434437298934","0","1","0.49787234042553297","0.45","0.2669434437298934","0","0","0","0","0","0","0","9.826426848000001E8","9.91065336384E7","1.4455778399999999E7","1274250.096"
"35","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","78380400","78380400","78380400","78380400","0","412991.46389596106","19750.514968586955","0","75515.27133209839","0","3233069.97430874","1616534.98715437","1616534.98715437","2286125.702884327","0","0","0","0","-8802715.195450261","-8802715.195450261","-8802715.195450261","-8802715.195450261","0","1","0.5283687943262424","0.45","0.25483264793457167","0","1","0.5283687943262424","0.45","0.25483264793457167","0","0","0","0","0","0","0","9.963716448000001E8","1.004911973184E8","1.42802352E7","1258776.288"
"36","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","80908800","80908800","80908800","80908800","0","626386.0551380215","20147.31465439246","0","82083.22196657801","0","3226565.660814616","1613282.830407308","1613282.830407308","2281526.458705669","0","0","0","0","-8908108.39335329","-8908108.39335329","-8908108.39335329","-8908108.39335329","0","1","0.4826241134751783","0.45","0.2566195388973203","0","1","0.4826241134751783","0.45","0.2566195388973203","0","0","0","0","0","0","0","1.0285126656000001E9","1.037328488448E8","1.46313216E7","1289723.9039999999"
