"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_baseline"
"11/10/2023 14:55:06:382 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"21","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","79406400","79406400","79406400","79406400","0","435896.2777395481","12168.853863348391","0","50581.77874419754","0","1320039.4976463637","660019.7488231818","660019.7488231818","933408.8802198274","824897.3775333314","824897.3775333314","824897.3775333314","824897.3775333314","-5576553.6646439405","-5576553.6646439405","-5576553.6646439405","-5576553.6646439405","0","1","0.5031914893617031","0.45","0.24935595089669696","0","1","0.5031914893617031","0.45","0.24935595089669696","0","0","0","0","0","0","0","1.0094141568000001E9","1.018066278144E8","1.7207164799999997E7","1322333.2079999999"
"22","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","74935200","74935200","74935200","74935200","0","316959.440847056","11567.733789296039","0","47641.37989804181","0","1260735.250156007","630367.6250780035","630367.6250780035","891474.4446662309","840959.4598470631","840959.4598470631","840959.4598470631","840959.4598470631","-5363795.638584553","-5363795.638584553","-5363795.638584553","-5363795.638584553","0","1","0.4741134751773061","0.45","0.2739654001116614","0","1","0.4741134751773061","0.45","0.2739654001116614","0","0","0","0","0","0","0","9.525762624000001E8","9.607412017920001E7","1.65951072E7","1275297.912"
"23","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","75506400","75506400","75506400","75506400","0","278086.1698353179","11237.139573656445","0","43523.98375883079","0","1244863.892500926","622431.946250463","622431.946250463","880251.7000416861","880598.6633221667","880598.6633221667","880598.6633221667","880598.6633221667","-5294335.915594209","-5294335.915594209","-5294335.915594209","-5294335.915594209","0","1","0.48439716312056835","0.45","0.2506670639143188","0","1","0.48439716312056835","0.45","0.2506670639143188","0","0","0","0","0","0","0","9.598373568000001E8","9.68064534144E7","1.62844416E7","1251423.936"
"24","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","74793600","74793600","74793600","74793600","0","294526.35119150236","11458.98055132439","0","44222.417078354876","0","1253613.3254451186","626806.6627225593","626806.6627225593","886438.4834080617","757646.7892716519","757646.7892716519","757646.7892716519","757646.7892716519","-5242692.630190249","-5242692.630190249","-5242692.630190249","-5242692.630190249","0","1","0.4909574468085117","0.45","0.2664144517560751","0","1","0.4909574468085117","0.45","0.2664144517560751","0","0","0","0","0","0","0","9.507762431999999E8","9.589257538559999E7","1.6381814399999999E7","1258906.824"
"25","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","75296400","75296400","75296400","75296400","0","272386.80996097525","11623.302205601003","0","44599.010269705985","0","1424468.3849789486","712234.1924894743","712234.1924894743","1007251.2546044642","753720.8785029142","753720.8785029142","753720.8785029142","753720.8785029142","-5455960.485461346","-5455960.485461346","-5455960.485461346","-5455960.485461346","0","1","0.500354609929079","0.45","0.26359791268031757","0","1","0.500354609929079","0.45","0.26359791268031757","0","0","0","0","0","0","0","9.571678368000001E8","9.65372132544E7","1.67805792E7","1289551.032"
"26","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","77973600","77973600","77973600","77973600","0","300612.4437917258","11040.623984156855","0","44867.023354530385","0","1250885.9489558944","625442.9744779472","625442.9744779472","884509.9369976826","922165.1231868679","922165.1231868679","922165.1231868679","922165.1231868679","-5286507.035674996","-5286507.035674996","-5286507.035674996","-5286507.035674996","0","1","0.5125886524822706","0.45","0.25650130440025404","0","1","0.5125886524822706","0.45","0.25650130440025404","0","0","0","0","0","0","0","9.912004031999999E8","9.996964066559999E7","1.6057238399999999E7","1233963.8639999998"
"27","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","78128400","78128400","78128400","78128400","0","369340.98728006985","11722.13717334326","0","45383.91758271095","0","1381404.501484825","690702.2507424125","690702.2507424125","976800.490561542","719822.4290364936","719822.4290364936","719822.4290364936","719822.4290364936","-5406869.6134041175","-5406869.6134041175","-5406869.6134041175","-5406869.6134041175","0","1","0.5223404255319158","0.45","0.2895219726825765","0","1","0.5223404255319158","0.45","0.2895219726825765","0","0","0","0","0","0","0","9.931682208000001E8","1.001681091264E8","1.6743484799999999E7","1286700.4079999998"
"28","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","83516400","83516400","83516400","83516400","0","349886.61527806695","12615.870273622702","0","51302.7140467577","0","1348821.9747352647","674410.9873676323","674410.9873676323","953761.1649487357","983961.5082009814","983961.5082009814","983961.5082009814","983961.5082009814","-5890458.90009785","-5890458.90009785","-5890458.90009785","-5890458.90009785","0","1","0.4751773049645403","0.45","0.2605512984562356","0","1","0.4751773049645403","0.45","0.2605512984562356","0","0","0","0","0","0","0","1.0616604768000001E9","1.070760423744E8","1.7860953599999998E7","1372575.456"
"29","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","71581200","71581200","71581200","71581200","0","410824.07731893443","11689.761624678638","0","43750.06143338885","0","1431513.1059032893","715756.5529516446","715756.5529516446","1012232.6245416321","704365.1694141136","704365.1694141136","704365.1694141136","704365.1694141136","-5432391.05347678","-5432391.05347678","-5432391.05347678","-5432391.05347678","0","1","0.48049645390071044","0.45","0.2591920823917446","0","1","0.48049645390071044","0.45","0.2591920823917446","0","0","0","0","0","0","0","9.099402144E8","9.17739701952E7","1.6660022399999999E7","1280286.504"
"30","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","81164400","81164400","81164400","81164400","0","424324.9083900834","11565.964466930584","0","48029.53141003945","0","1287433.087327798","643716.543663899","643716.543663899","910352.6663734185","852814.9001783038","852814.9001783038","852814.9001783038","852814.9001783038","-5401849.967180526","-5401849.967180526","-5401849.967180526","-5401849.967180526","0","1","0.4920212765957457","0.45","0.26704890373004314","0","1","0.4920212765957457","0.45","0.26704890373004314","0","0","0","0","0","0","0","1.0317618528000001E9","1.040605525824E8","1.6391087999999998E7","1259619.48"
