"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_animal-welfare"
"11/12/2023 12:03:37:204 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"27","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","83269200","83269200","83269200","83269200","0","500061.9181863539","16867.436154645522","0","69315.60150383248","0","3435957.7311067656","1717978.8655533828","1717978.8655533828","2429589.011535938","0","0","0","0","-8192574.726716803","-8192574.726716803","-8192574.726716803","-8192574.726716803","0","1","0.4657801418439727","0.45","0.25663631972246514","0","1","0.4657801418439727","0.45","0.25663631972246514","0","0","0","0","0","0","0","1.0585180704000001E9","1.067591082432E8","14349636","1264893.8399999999"
"28","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","75963600","75963600","75963600","75963600","0","399743.012961505","17615.92538143791","0","65359.49974378685","0","3222888.426235144","1611444.213117572","1611444.213117572","2278926.2611985104","0","0","0","0","-8190579.383800634","-8190579.383800634","-8190579.383800634","-8190579.383800634","0","1","0.47978723404255424","0.45","0.25428559639499687","0","1","0.47978723404255424","0.45","0.25428559639499687","0","0","0","0","0","0","0","9.656492831999999E8","9.73926277056E7","1.45496736E7","1282526.784"
"29","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","76143600","76143600","76143600","76143600","0","401444.7305195804","17654.02290177539","0","64660.34672408272","0","3368076.28749841","1684038.143749205","1684038.143749205","2381589.5824437374","0","0","0","0","-8346510.745799069","-8346510.745799069","-8346510.745799069","-8346510.745799069","0","1","0.498049645390072","0.45","0.26779332409617407","0","1","0.498049645390072","0.45","0.26779332409617407","0","0","0","0","0","0","0","9.679374431999999E8","9.76234049856E7","1.47905352E7","1303758.288"
"30","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","74636400","74636400","74636400","74636400","0","405871.09804618167","17399.23251544702","0","67988.7368898449","0","3235988.2031010785","1617994.1015505393","1617994.1015505393","2288189.2022524434","0","0","0","0","-8142571.7724571405","-8142571.7724571405","-8142571.7724571405","-8142571.7724571405","0","1","0.502836879432625","0.45","0.24160444199781259","0","1","0.502836879432625","0.45","0.24160444199781259","0","0","0","0","0","0","0","9.487779168000001E8","9.56910298944E7","1.44027072E7","1269571.9679999999"
"31","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","76296000","76296000","76296000","76296000","0","451571.95403792296","17118.90268853089","0","68635.28386365289","0","3177871.713275766","1588935.856637883","1588935.856637883","2247094.6381982057","0","0","0","0","-8005402.271441476","-8005402.271441476","-8005402.271441476","-8005402.271441476","0","1","0.4987588652482279","0.45","0.2627670009861375","0","1","0.4987588652482279","0.45","0.2627670009861375","0","0","0","0","0","0","0","969874752","9.7818796416E7","1.4272070399999999E7","1258056.576"
"32","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","82360800","82360800","82360800","82360800","0","740873.0042709621","18489.76145168704","0","85213.44246672925","0","3299426.3508256176","1649713.1754128088","1649713.1754128088","2333046.746694379","0","0","0","0","-8513539.080201365","-8513539.080201365","-8513539.080201365","-8513539.080201365","0","1","0.4819148936170221","0.45","0.24652579544561926","0","1","0.4819148936170221","0.45","0.24652579544561926","0","0","0","0","0","0","0","1.0469704896000001E9","1.055944522368E8","1.52028576E7","1340103.744"
"33","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","75529200","75529200","75529200","75529200","0","400709.981444343","17415.604231160884","0","69316.78568191755","0","3246226.0654064296","1623113.0327032148","1623113.0327032148","2295428.4641134115","0","0","0","0","-8157426.458593797","-8157426.458593797","-8157426.458593797","-8157426.458593797","0","1","0.5015957446808522","0.45","0.2613391594858302","0","1","0.5015957446808522","0.45","0.2613391594858302","0","0","0","0","0","0","0","9.601271904000001E8","9.683568520320001E7","1.44231192E7","1271371.248"
"34","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","76046400","76046400","76046400","76046400","0","455939.47799416154","17145.365025209572","0","65650.6043501357","0","3144168.961447522","1572084.480723761","1572084.480723761","2223263.1938358075","0","0","0","0","-7979161.89855662","-7979161.89855662","-7979161.89855662","-7979161.89855662","0","1","0.49929078014184525","0.45","0.2646078018719193","0","1","0.49929078014184525","0.45","0.2646078018719193","0","0","0","0","0","0","0","9.667018368000001E8","9.74987852544E7","1.4378212799999999E7","1267412.832"
"35","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","77685600","77685600","77685600","77685600","0","476877.67357083666","17252.51929302524","0","70866.32749069133","0","3341655.8364803903","1670827.9182401951","1670827.9182401951","2362907.502366889","0","0","0","0","-8206866.27711351","-8206866.27711351","-8206866.27711351","-8206866.27711351","0","1","0.47464539007092316","0.45","0.24655068515893128","0","1","0.47464539007092316","0.45","0.24655068515893128","0","0","0","0","0","0","0","9.875393471999999E8","9.960039701759999E7","1.44027072E7","1269571.9679999999"
"36","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","80113200","80113200","80113200","80113200","0","612301.3065430047","17005.402321670914","0","70215.639375621","0","3277189.613076839","1638594.8065384196","1638594.8065384196","2317322.998640751","0","0","0","0","-8072713.0677880375","-8072713.0677880375","-8072713.0677880375","-8072713.0677880375","0","1","0.47677304964539124","0.45","0.2660864619813292","0","1","0.47677304964539124","0.45","0.2660864619813292","0","0","0","0","0","0","0","1.0183989984000001E9","1.0271281326720001E8","1.4398624799999999E7","1269212.112"
