"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_colorado-source-id"
"11/12/2023 08:27:36:157 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"21","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","75993600","75993600","75993600","75993600","0","474184.23165682005","15330.900517532942","0","64928.362258279","0","3288622.2930539474","1644311.1465269737","1644311.1465269737","2325407.1241796995","0","0","0","0","-7611936.238998236","-7611936.238998236","-7611936.238998236","-7611936.238998236","0","1","0.5063829787234054","0.45","0.23722529074796186","0","1","0.5063829787234054","0.45","0.23722529074796186","0","0","0","0","0","0","0","9.660306431999999E8","9.743109058559999E7","14614992","1288284.48"
"22","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","74230800","74230800","74230800","74230800","0","365174.55914628017","14876.732097516015","0","56421.19256661666","0","3253164.512353839","1626582.2561769194","1626582.2561769194","2300334.6870008274","0","0","0","0","-7448402.963853355","-7448402.963853355","-7448402.963853355","-7448402.963853355","0","1","0.4796099290780152","0.45","0.24891406206263567","0","1","0.4796099290780152","0.45","0.24891406206263567","0","0","0","0","0","0","0","9.436219296000001E8","9.51710117568E7","1.42189992E7","1253378.4479999999"
"23","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","78410400","78410400","78410400","78410400","0","1011129.3768825765","15943.877321904836","0","75267.05205208053","0","3155609.9590672697","1577804.9795336348","1577804.9795336348","2231353.20083627","0","0","0","0","-7651783.363844435","-7651783.363844435","-7651783.363844435","-7651783.363844435","0","1","0.5024822695035471","0.45","0.26392373542118985","0","1","0.5024822695035471","0.45","0.26392373542118985","0","0","0","0","0","0","0","9.967530048000001E8","1.005296601984E8","1.4721134399999999E7","1297640.736"
"24","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","73513200","73513200","73513200","73513200","0","348633.0130525226","15442.422044231167","0","60599.42844009887","0","3281701.7575936373","1640850.8787968187","1640850.8787968187","2320513.5666262726","0","0","0","0","-7636464.774066825","-7636464.774066825","-7636464.774066825","-7636464.774066825","0","1","0.5134751773049652","0.45","0.27150427355019335","0","1","0.5134751773049652","0.45","0.27150427355019335","0","0","0","0","0","0","0","9.344997984E8","9.42509796672E7","1.4235328799999999E7","1254817.872"
"25","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","72637200","72637200","72637200","72637200","0","407193.7715638897","15062.782528047404","0","59161.588103030845","0","3358388.959932519","1679194.4799662596","1679194.4799662596","2374739.6074303207","0","0","0","0","-7606093.632841886","-7606093.632841886","-7606093.632841886","-7606093.632841886","0","1","0.4879432624113485","0.45","0.2684077678933217","0","1","0.4879432624113485","0.45","0.2684077678933217","0","0","0","0","0","0","0","9.233640864E8","9.31278635712E7","1.4272070399999999E7","1258056.576"
"26","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","81513600","81513600","81513600","81513600","0","1623369.2057199772","15624.600855328365","0","113413.43592225565","0","3486311.4258634048","1743155.7129317024","1743155.7129317024","2465194.4505561553","0","0","0","0","-7892448.867066003","-7892448.867066003","-7892448.867066003","-7892448.867066003","0","1","0.48652482269503655","0.45","0.260637012733326","0","1","0.48652482269503655","0.45","0.260637012733326","0","0","0","0","0","0","0","1.0362008831999999E9","1.0450826050559999E8","1.4929336799999999E7","1315993.392"
"27","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","77914800","77914800","77914800","77914800","0","364940.8405693725","15645.406759446907","0","58966.83059910144","0","3281083.212699796","1640541.606349898","1640541.606349898","2320076.189337369","0","0","0","0","-7693087.918863825","-7693087.918863825","-7693087.918863825","-7693087.918863825","0","1","0.4804964539007102","0.45","0.26415601515629383","0","1","0.4804964539007102","0.45","0.26415601515629383","0","0","0","0","0","0","0","9.904529376000001E8","9.98942534208E7","1.46109096E7","1287924.6239999998"
"28","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","71652000","71652000","71652000","71652000","0","756713.4621435105","15589.967845711279","0","67465.59578467568","0","3299434.922873622","1649717.461436811","1649717.461436811","2333052.8080476513","0","0","0","0","-7695805.855364203","-7695805.855364203","-7695805.855364203","-7695805.855364203","0","1","0.45691489361702214","0.45","0.2539651106523029","0","1","0.45691489361702214","0.45","0.2539651106523029","0","0","0","0","0","0","0","910840224","9.1864742592E7","14431284","1272090.96"
"29","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","83788800","83788800","83788800","83788800","0","524324.665185714","15446.944548192121","0","66061.1795292454","0","3392840.4496310917","1696420.2248155458","1696420.2248155458","2399100.4894181597","0","0","0","0","-7748878.81222127","-7748878.81222127","-7748878.81222127","-7748878.81222127","0","1","0.49078014184397284","0.45","0.26387495939364447","0","1","0.49078014184397284","0.45","0.26387495939364447","0","0","0","0","0","0","0","1.0651232256000001E9","1.074252853248E8","1.4251658399999999E7","1256257.2959999999"
"30","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","80581200","80581200","80581200","80581200","0","535937.6252145221","15218.243993874834","0","63994.41436208984","0","3140756.518783618","1570378.259391809","1570378.259391809","2220850.2324877507","0","0","0","0","-7432301.325056322","-7432301.325056322","-7432301.325056322","-7432301.325056322","0","1","0.5267730496453913","0.45","0.26316147617976865","0","1","0.5267730496453913","0.45","0.26316147617976865","0","0","0","0","0","0","0","1.0243482144000001E9","1.0331283419520001E8","1.43006472E7","1260575.568"
"31","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","76873200","76873200","76873200","76873200","0","484191.34623865876","15184.938232511642","0","60630.465193910764","0","3316738.6656893683","1658369.3328446841","1658369.3328446841","2345288.401932574","0","0","0","0","-7598891.247257651","-7598891.247257651","-7598891.247257651","-7598891.247257651","0","1","0.49946808510638446","0.45","0.24659546751834424","0","1","0.49946808510638446","0.45","0.24659546751834424","0","0","0","0","0","0","0","9.772121184000001E8","9.85588222272E7","1.43251416E7","1262734.704"
"32","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","78751200","78751200","78751200","78751200","0","575819.63174777","15258.103623216688","0","64315.98342640344","0","3347591.1877063205","1673795.5938531603","1673795.5938531603","2367104.429467468","0","0","0","0","-7650376.409453429","-7650376.409453429","-7650376.409453429","-7650376.409453429","0","1","0.4817375886524833","0.45","0.25170909451543555","0","1","0.4817375886524833","0.45","0.25170909451543555","0","0","0","0","0","0","0","1.0010852544000001E9","1.009665985152E8","1.45292616E7","1280727.504"
"33","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","83402400","83402400","83402400","83402400","0","387160.6896315484","15221.490080366486","0","55837.51216854538","0","3296690.1624142025","1648345.0812071012","1648345.0812071012","2331111.9693140634","0","0","0","0","-7589150.365077553","-7589150.365077553","-7589150.365077553","-7589150.365077553","0","1","0.5262411347517744","0.45","0.2771924290357188","0","1","0.5262411347517744","0.45","0.2771924290357188","0","0","0","0","0","0","0","1.0602113088000001E9","1.069298834304E8","1.42230816E7","1253738.304"
