"BehaviorSpace results (NetLogo 6.2.2)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_baseline"
"01/26/2023 08:18:54:555 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"21","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","53850000","2953200","2953200","2953200","0","285945.1536020038","11487.150613065654","0","45595.288096254386","0","1438081.7481643232","719040.8740821616","719040.8740821616","1016877.3560275978","664166.989149271","664166.989149271","664166.989149271","664166.989149271","-5341625.210198109","-5341625.210198109","-5341625.210198109","-5341625.210198109","0","1","0.4893617021276608","0.45","0.25085678881079976","0","1","0.4893617021276608","0.45","0.25085678881079976","0","0","0","0","0","0","0","1.9553700096E8","1.909222202592E7","1.6335446399999999E7","1255343.544"
"22","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","52839600","2946000","2946000","2946000","0","359192.30042107665","11778.819136013984","0","48384.47901590677","0","1301858.1064562085","650929.0532281043","650929.0532281043","920552.6952178633","751011.3126263614","751011.3126263614","751011.3126263614","751011.3126263614","-5374496.415438514","-5374496.415438514","-5374496.415438514","-5374496.415438514","0","1","0.4774822695035472","0.45","0.2660473321770624","0","1","0.4774822695035472","0.45","0.2660473321770624","0","0","0","0","0","0","0","1.9226645760000002E8","1.8763898088000003E7","1.6910409599999998E7","1299528.216"
"23","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","49624800","2778000","2778000","2778000","0","263537.20903138234","11304.309558464089","0","42678.333780327994","0","1318156.8735549254","659078.4367774627","659078.4367774627","932077.6639583462","851441.0061447994","851441.0061447994","851441.0061447994","851441.0061447994","-5357413.175186597","-5357413.175186597","-5357413.175186597","-5357413.175186597","0","1","0.5001773049645397","0.45","0.2682982560811725","0","1","0.5001773049645397","0.45","0.2682982560811725","0","0","0","0","0","0","0","1.8066167279999998E8","1.7629259472E7","1.62937152E7","1252136.592"
"24","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","50787600","2806800","2806800","2806800","0","408477.79825371486","11247.84483657357","0","46739.47072388634","0","1196128.1253732922","598064.0626866461","598064.0626866461","845790.3086194078","823748.8953207737","823748.8953207737","823748.8953207737","823748.8953207737","-5191769.264607811","-5191769.264607811","-5191769.264607811","-5191769.264607811","0","1","0.5056737588652492","0.45","0.24081653791159818","0","1","0.5056737588652492","0.45","0.24081653791159818","0","0","0","0","0","0","0","1.8459501984E8","1.801983073248E7","1.60850592E7","1236101.832"
"25","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","50852400","2802000","2802000","2802000","0","248879.83719276782","11671.307489134548","0","42969.83700324266","0","1336529.402798052","668264.701399026","668264.701399026","945069.0039737092","901960.8311144648","901960.8311144648","901960.8311144648","901960.8311144648","-5529798.94584846","-5529798.94584846","-5529798.94584846","-5529798.94584846","0","1","0.4913120567375898","0.45","0.2596960620086508","0","1","0.4913120567375898","0.45","0.2596960620086508","0","0","0","0","0","0","0","1.8476129280000004E8","1.80376230288E7","1.6766668799999999E7","1288482.048"
"26","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","52291200","2840400","2840400","2840400","0","265520.9874869819","11287.238810263138","0","40354.54599509589","0","1117071.6497414112","558535.8248707056","558535.8248707056","789888.9386033957","1006120.2002234699","1006120.2002234699","1006120.2002234699","1006120.2002234699","-5306193.194459086","-5306193.194459086","-5306193.194459086","-5306193.194459086","0","1","0.52163120567376","0.45","0.2705145330976628","0","1","0.52163120567376","0.45","0.2705145330976628","0","0","0","0","0","0","0","1.8965109072E8","1.852261423104E7","1.61917056E7","1244297.376"
"27","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","51656400","2787600","2787600","2787600","0","501585.99594185635","11657.598336801238","0","54097.29081634143","0","1280831.8620475393","640415.9310237697","640415.9310237697","905684.8952136076","963946.6632569993","963946.6632569993","963946.6632569993","963946.6632569993","-5532221.256282489","-5532221.256282489","-5532221.256282489","-5532221.256282489","0","1","0.49343971631205796","0.45","0.24125534290675923","0","1","0.49343971631205796","0.45","0.24125534290675923","0","0","0","0","0","0","0","1.8719742048000005E8","1.8286391348160002E7","1.6465276799999999E7","1265320.728"
"28","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","50521200","2793600","2793600","2793600","0","333142.82834549644","11291.921172954777","0","42595.55434439173","0","1326326.0118521624","663163.0059260812","663163.0059260812","937854.1170447733","893340.6750975064","893340.6750975064","893340.6750975064","893340.6750975064","-5403988.457722916","-5403988.457722916","-5403988.457722916","-5403988.457722916","0","1","0.5115248226950365","0.45","0.25913931128962747","0","1","0.5115248226950365","0.45","0.25913931128962747","0","0","0","0","0","0","0","1.8363933168E8","1.792625457696E7","1.6140700799999999E7","1240377.768"
"29","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","50896800","2824800","2824800","2824800","0","349123.346812772","11460.5583622256","0","46312.85639179296","0","1296863.5814088099","648431.7907044049","648431.7907044049","917021.0326880417","802757.0842244904","802757.0842244904","802757.0842244904","802757.0842244904","-5331498.123780919","-5331498.123780919","-5331498.123780919","-5331498.123780919","0","1","0.4891843971631215","0.45","0.2331473684476153","0","1","0.4891843971631215","0.45","0.2331473684476153","0","0","0","0","0","0","0","1.8509078784000003E8","1.8065998174079996E7","1.65255552E7","1269952.9919999999"
"30","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","54754800","3012000","3012000","3012000","0","293450.69183294196","11692.309223607515","0","46659.71306551843","0","1348132.0296797496","674066.0148398748","674066.0148398748","953273.300121335","609458.7017726556","609458.7017726556","609458.7017726556","609458.7017726556","-5254821.932509724","-5254821.932509724","-5254821.932509724","-5254821.932509724","0","1","0.4861702127659586","0.45","0.24687415087317155","0","1","0.4861702127659586","0.45","0.24687415087317155","0","0","0","0","0","0","0","1.9889830800000003E8","1.9418708462399997E7","1.6613654399999999E7","1276723.224"
